ID,JOB,CARPETA,PROCESO,TIPO,,SECUENCIA,HORA,Satatus de Bandera,State,Status de ejcucion,storeday Compac
3010101,eina,ecc_asortment,ASSORTMENT/CI,FULL_LOAD,,Sec_01,5:00,SUCCESS,0,0,15/09/2022 05:13
3010102,ausp,ecc_asortment,ASSORTMENT,FULL_LOAD,,Sec_01,5:00,SUCCESS,0,0,15/09/2022 05:28
3010103,inob,ecc_asortment,ASSORTMENT,FULL_LOAD,,Sec_01,5:00,SUCCESS,0,0,15/09/2022 05:13
3010105,wrf_charval_head,ecc_asortment,ASSORTMENT,FULL_LOAD,,Sec_01,5:00,SUCCESS,0,0,15/09/2022 05:08
3010130,BI_Ext_ZODTTT_MARCA,ecc_ciproject_atp,MONITOREO,,,,5:00,,#N/D,#N/D,#N/D
3010129,BI_Ext_ZODTTT_ESTATUS,ecc_ciproject_atp,MONITOREO,,,,5:00,,#N/D,#N/D,#N/D
3010128,BI_Ext_ZODTTT_DIVISION,ecc_ciproject_atp,MONITOREO,,,,5:00,,COMPACTION,SUCCESS,16/09/2022 05:14
3010127,BI_Ext_ZODTTT_DEPTO,ecc_ciproject_atp,MONITOREO,,,,5:00,,COMPACTION,SUCCESS,16/09/2022 05:14
3010126,BI_Ext_ZODTTT_CENTRO,ecc_ciproject_atp,MONITOREO,,,,5:00,,COMPACTION,SUCCESS,16/09/2022 05:14
3010125,BI_Ext_ZODTTT_CENTMAT,ecc_ciproject_atp,MONITOREO,,,,5:00,,COMPACTION,SUCCESS,16/09/2022 05:12
3010124,BI_Ext_ZODTTT_CENTMARC,ecc_ciproject_atp,MONITOREO,,,,5:00,,COMPACTION,SUCCESS,16/09/2022 05:12
3010123,BI_Ext_ZODTTT_CENDEPMAR,ecc_ciproject_atp,MONITOREO,,,,5:00,,COMPACTION,SUCCESS,16/09/2022 05:13
3010122,BI_Ext_ZODTTT_ARTICULO,ecc_ciproject_atp,MONITOREO,,,,5:00,,COMPACTION,SUCCESS,16/09/2022 05:11
3010121,BI_Ext_ZODTTT_APARTADOS,ecc_ciproject_atp,MONITOREO,,,,5:00,SUCCESS,OK,SUCCESS,
3010120,BI_Ext_ZACMTTT_AUTENR,ecc_ciproject_atp,MONITOREO,,,,5:00,SUCCESS,ok,SUCCESS,
3010119,BI_Ext_VBBE,ecc_ciproject_atp,MONITOREO,,,,5:00,,#N/D,#N/D,#N/D
3010118,BI_Ext_MVKE,ecc_ciproject_atp,MONITOREO,,1 hora,,5:00,,#N/D,#N/D,#N/D
3010117,BI_Ext_MARD_ATP,ecc_ciproject_atp,MONITOREO,,30 min,,5:00,,COMPACTION,SUCCESS,16/09/2022 05:07
3010116,BI_Ext_MARC_ATP,ecc_ciproject_atp,MONITOREO,,,,5:00,,COMPACTION,SUCCESS,16/09/2022 05:06
#N/D,BI_Ext_MBEW_ATP,ecc_ciproject_atp,MONITOREO,,,,5:00,WAIT,,WAIT,
#N/D,BI_Ext_MAW1,ecc_ciproject,MONITOREO,,,,5:00,WAIT,,WAIT,
#N/D,BI_Ext_ZACSTT_IMP_AEMBQ,ecc_ciproject,MONITOREO,,,,5:00,WAIT,,WAIT,
#N/D,BI_Ext_ZACSTT_IMP_PEDTO,ecc_ciproject,MONITOREO,,,,5:00,WAIT,,WAIT,
#N/D,BI_Ext_ZACSTT_IMP_PAEMB,ecc_ciproject,MONITOREO,,,,5:00,WAIT,,WAIT,
#N/D,BI_Ext_LFM1,ecc_ciproject,MONITOREO,,,,5:00,WAIT,,WAIT,
#N/D,BI_Ext_T615T,ecc_ciproject,MONITOREO,,,,5:00,WAIT,,WAIT,
#N/D,BI_Ext_T618T,ecc_ciproject,MONITOREO,,,,5:00,WAIT,,WAIT,
#N/D,BI_Ext_T005T,ecc_ciproject,MONITOREO,,,,5:00,WAIT,,WAIT,
