ID,JOB,CARPETA,PROCESO,TIPO,,SECUENCIA,HORA,Satatus de Bandera,State,Status de ejcucion,storeday Compac
1020101,mdrp_nodt,ecc_location,VENTAS,FULL_LOAD,,Sec_01,0:00,SUCCESS,COMPACTION,SUCCESS,12/09/2022 00:05
1020102,mdrp_nodtt,ecc_location,VENTAS,FULL_LOAD,,Sec_01,0:00,SUCCESS,COMPACTION,SUCCESS,12/09/2022 00:06
1050103,posdw_trantyt,car_sales,VENTAS,FULL_LOAD,,Sec_01,0:10,SUCCESS,COMPACTION,SUCCESS,12/09/2022 00:15
1020201,wrf1,ecc_location,VENTAS,FULL_LOAD,,Sec_01,0:00,SUCCESS,COMPACTION,SUCCESS,12/09/2022 00:07
1020202,t001l,ecc_location,VENTAS,FULL_LOAD,,Sec_01,0:00,SUCCESS,COMPACTION,SUCCESS,12/09/2022 00:06
1030501,mara,ecc_inventories,VENTAS/INVENTARIO/CI,INCREMENTAL,,Sec_01,0:05,SUCCESS,COMPACTION,SUCCESS,12/09/2022 00:13
1050101,tcurc,car_sales,VENTAS,FULL_LOAD,,Sec_01,0:10,SUCCESS,COMPACTION,SUCCESS,12/09/2022 00:15
1050102,tcurt,car_sales,VENTAS,FULL_LOAD,,Sec_01,0:10,SUCCESS,COMPACTION,SUCCESS,12/09/2022 00:15
1050104,dd07v,car_sales,VENTAS,FULL_LOAD,,Sec_01,0:10,SUCCESS,COMPACTION,SUCCESS,12/09/2022 00:13
1050105,posdw_tendtyt,car_sales,VENTAS,FULL_LOAD,,Sec_01,0:10,SUCCESS,COMPACTION,SUCCESS,12/09/2022 00:14
1050106,posdw_fityt,car_sales,VENTAS,FULL_LOAD,,Sec_01,0:10,SUCCESS,COMPACTION,SUCCESS,12/09/2022 00:14
1050201,posdw_disctyt,car_sales,VENTAS,FULL_LOAD,,Sec_01,0:10,SUCCESS,COMPACTION,SUCCESS,12/09/2022 00:13
1050202,posdw_taxtyt,car_sales,VENTAS,FULL_LOAD,,Sec_01,0:10,SUCCESS,COMPACTION,SUCCESS,12/09/2022 00:14
1050203,posdw_reasont,car_sales,VENTAS,FULL_LOAD,,Sec_01,0:10,SUCCESS,COMPACTION,SUCCESS,12/09/2022 00:14
1050301,posdw_tlogf,car_sales,VENTAS,INCREMENTAL,1 hora,Sec_02,0:20,SUCCESS,COMPACTION,SUCCESS,12/09/2022 01:34
1050302,posdw_tlogf_x,car_sales,VENTAS,INCREMENTAL,,Sec_02,0:20,SUCCESS,COMPACTION,SUCCESS,12/09/2022 00:38
1051201,posdw_tstat,car_sales,VENTAS,INCREMENTAL,,Sec_02,0:20,SUCCESS,COMPACTION,SUCCESS,12/09/2022 00:29
1060601,viajes_ingresos,Ftp,VENTAS,FULL_LOAD,,Ftp,0:30,SUCCESS,COMPACTION,SUCCESS,12/09/2022 00:16
1030801,wrf_matgrp_prod,ecc_Item Def_ecc_comercial_structure,VENTAS,FULL_LOAD,35 min,Sec_01,23:30,SUCCESS,COMPACTION,SUCCESS,12/09/2022 00:10
