ID,JOB,CARPETA,PROCESO,TIPO,,SECUENCIA,HORA,Satatus de Bandera,State,Status de ejcucion,storeday Compac
2051201,zacstt_info_inv,ecc_inventories,INVENTARIO,FULL_LOAD,,Sec_04,1:15,SUCCESS,COMPACTION,SUCCESS,12/09/2022 01:28
3010106,wrf_charvalt,ecc_inventories,ASSORTMENT/CI,FULL_LOAD,,Sec_05,1:15,SUCCESS,COMPACTION,SUCCESS,12/09/2022 01:28
1040101,tvfkt,ecc_sales,VENTAS,FULL_LOAD,,Sec_01,1:20,SUCCESS,COMPACTION,SUCCESS,12/09/2022 01:24
1040102,t188t,ecc_sales,VENTAS,FULL_LOAD,,Sec_01,1:20,SUCCESS,COMPACTION,SUCCESS,12/09/2022 01:25
1040103,tvtwt,ecc_sales,VENTAS,FULL_LOAD,,Sec_01,1:20,SUCCESS,COMPACTION,SUCCESS,12/09/2022 01:23
1040104,t683t,ecc_sales,VENTAS,FULL_LOAD,,Sec_01,1:20,SUCCESS,COMPACTION,SUCCESS,12/09/2022 01:26
1040105,t189t,ecc_sales,VENTAS,FULL_LOAD,,Sec_01,1:20,SUCCESS,COMPACTION,SUCCESS,12/09/2022 01:26
1040106,tinct,ecc_sales,VENTAS,FULL_LOAD,,Sec_01,1:20,SUCCESS,COMPACTION,SUCCESS,12/09/2022 01:27
1040107,tvapt,ecc_sales,VENTAS,FULL_LOAD,,Sec_01,1:20,SUCCESS,COMPACTION,SUCCESS,12/09/2022 01:27
1040108,tvlvt,ecc_sales,VENTAS,FULL_LOAD,,Sec_01,1:20,SUCCESS,COMPACTION,SUCCESS,12/09/2022 01:23
1040109,tvkmt,ecc_sales,VENTAS,FULL_LOAD,,Sec_01,1:20,SUCCESS,COMPACTION,SUCCESS,12/09/2022 01:27
1040110,dd07v,ecc_sales,VENTAS,FULL_LOAD,,Sec_01,1:20,SUCCESS,COMPACTION,SUCCESS,12/09/2022 01:25
1060101,trafico,Ftp,VENTAS,FULL_LOAD,,Ftp,1:30,SUCCESS,COMPACTION,SUCCESS,12/09/2022 01:37
2010101,lfa1,ecc_party,ASSORTMENT/CI,FULL_LOAD,,Sec_01,1:30,SUCCESS,COMPACTION,SUCCESS,12/09/2022 01:35
2051101,BI_Ext_ZODTTT_AJUSTEINF,ecc_inventories,MONITOREO,,,,1:20,,COMPACTION,SUCCESS,12/09/2022 01:28
2010202,BI_Ext_T001,ecc_party,MONITOREO,,,,1:30,,COMPACTION,SUCCESS,12/09/2022 01:36
2010203,BI_Ext_T024,ecc_party,MONITOREO,,,,1:30,#N/D,COMPACTION,SUCCESS,12/09/2022 01:36
3010115,BI_Ext_MEAN,ecc_sales,CI,,,,1:20,,COMPACTION,SUCCESS,12/09/2022 01:29
81,BI_Ext_TCURC,ecc_vendor,MONITOREO,,,,1:45,#N/D,COMPACTION,SUCCESS,12/09/2022 01:52
#N/D,BI_Ext_ZACSTT_GTO_PUB_O,ecc_inventories,MONITOREO,,,,1:15,SUCCESS,ok,SUCCESS,
#N/D,BI_Ext_T143T,ecc_inventories,MONITOREO,,,,1:15,SUCCESS,ok,SUCCESS,
#N/D,BI_Ext_ZBW_DET_PEDIDO,ecc_inventories,MONITOREO,,,,1:15,SUCCESS,ok,SUCCESS,
#N/D,BI_Ext_T142T,ecc_inventories,MONITOREO,,,,1:15,SUCCESS,ok,SUCCESS,
#N/D,BI_Ext_T024L,ecc_party,MONITOREO,,,,1:30,SUCCESS,ok,SUCCESS,
#N/D,BI_Ext_T683,ecc_sales,MONITOREO,,,,1:20,SUCCESS,ok,SUCCESS,
#N/D,BI_Ext_T052,ecc_sales,MONITOREO,,,,1:20,SUCCESS,ok,SUCCESS,
#N/D,BI_Ext_T052U,ecc_sales,MONITOREO,,,,1:20,SUCCESS,ok,SUCCESS,
2050301,mkpf,ecc_inventories,COMPRAS,INCREMENTAL,,Sec_02,0:45,SUCCESS,COMPACTION,SUCCESS,12/09/2022 01:20
1030401,t006,ecc_Item Def_ecc_uom_brand,VENTAS,FULL_LOAD,,Sec_01,0:45,SUCCESS,COMPACTION,SUCCESS,12/09/2022 01:21
1030402,t006a,ecc_Item Def_ecc_uom_brand,VENTAS,FULL_LOAD,,Sec_01,0:45,SUCCESS,COMPACTION,SUCCESS,12/09/2022 01:21
1030403,t006d,ecc_Item Def_ecc_uom_brand,VENTAS,FULL_LOAD,,Sec_01,0:45,SUCCESS,COMPACTION,SUCCESS,12/09/2022 01:22
1030404,t006t,ecc_Item Def_ecc_uom_brand,VENTAS,FULL_LOAD,,Sec_01,0:45,SUCCESS,COMPACTION,SUCCESS,12/09/2022 01:22
1030405,wrf_brands_t,ecc_Item Def_ecc_uom_brand,VENTAS/CI,FULL_LOAD,,Sec_01,0:45,SUCCESS,COMPACTION,SUCCESS,12/09/2022 01:28
