ID,JOB,CARPETA,PROCESO,TIPO,,SECUENCIA,HORA,Satatus de Bandera,State,Status de ejcucion,storeday Compac
2050201,mseg,ecc_inventories_Kardex,INVENTARIO/COMPRAS,INCREMENTAL,1 hora,Sec_02,4:00,SUCCESS,COMPACTION,SUCCESS,12/09/2022 04:26
2050702,mska,ecc_inventories_Kardex,INVENTARIO,FULL_LOAD,,Sec_01,4:00,SUCCESS,COMPACTION,SUCCESS,12/09/2022 04:12
2050703,msku,ecc_inventories_Kardex,INVENTARIO,FULL_LOAD,,Sec_01,4:00,SUCCESS,COMPACTION,SUCCESS,12/09/2022 04:12
2050704,mslb,ecc_inventories_Kardex,INVENTARIO,FULL_LOAD,,Sec_01,4:00,SUCCESS,COMPACTION,SUCCESS,12/09/2022 04:07
2050705,mard,ecc_inventories_Kardex,INVENTARIO,FULL_LOAD,,Sec_01,4:00,SUCCESS,COMPACTION,SUCCESS,12/09/2022 04:11
2050706,mbew,ecc_inventories_Kardex,INVENTARIO,FULL_LOAD,,Sec_01,4:00,SUCCESS,COMPACTION,SUCCESS,12/09/2022 04:11
2050707,marc,ecc_inventories_Kardex,INVENTARIO,FULL_LOAD,,Sec_01,4:00,SUCCESS,COMPACTION,SUCCESS,12/09/2022 04:09
2050708,mkol,ecc_inventories_Kardex,INVENTARIO,FULL_LOAD,,Sec_01,4:00,SUCCESS,COMPACTION,SUCCESS,12/09/2022 04:09
1060801,trafico_ecomm,Ftp,VENTAS,FULL_LOAD,,Ftp,4:30,SUCCESS,COMPACTION,SUCCESS,12/09/2022 04:13
